"Label (Grouping)","Lawrence city, Massachusetts!!Total!!Estimate","Lawrence city, Massachusetts!!Total!!Margin of Error","Lawrence city, Massachusetts!!Percent!!Estimate","Lawrence city, Massachusetts!!Percent!!Margin of Error","Lawrence city, Massachusetts!!Male!!Estimate","Lawrence city, Massachusetts!!Male!!Margin of Error","Lawrence city, Massachusetts!!Percent Male!!Estimate","Lawrence city, Massachusetts!!Percent Male!!Margin of Error","Lawrence city, Massachusetts!!Female!!Estimate","Lawrence city, Massachusetts!!Female!!Margin of Error","Lawrence city, Massachusetts!!Percent Female!!Estimate","Lawrence city, Massachusetts!!Percent Female!!Margin of Error"
"        High school graduate or higher","13,921","±2,760","66.0%","±8.0","6,698","±1,582","67.5%","±10.0","7,223","±1,706","64.7%","±9.2"
"        Bachelor's degree or higher","2,561","±962","12.1%","±4.8","869","±649","8.8%","±6.9","1,692","±853","15.1%","±7.2"
"    Two or more races","23,128","±4,069","(X)","(X)","11,231","±2,696","(X)","(X)","11,897","±2,189","(X)","(X)"
"        High school graduate or higher","14,573","±3,540","63.0%","±8.5","6,947","±2,200","61.9%","±12.5","7,626","±1,840","64.1%","±9.3"
"        Bachelor's degree or higher","2,928","±1,199","12.7%","±4.7","1,163","±771","10.4%","±6.7","1,765","±917","14.8%","±6.6"
"    Hispanic or Latino Origin","47,422","±3,421","(X)","(X)","22,224","±2,567","(X)","(X)","25,198","±1,937","(X)","(X)"
"        High school graduate or higher","30,676","±2,922","64.7%","±4.6","14,126","±2,179","63.6%","±7.6","16,550","±1,550","65.7%","±5.1"
"        Bachelor's degree or higher","5,771","±1,647","12.2%","±3.5","2,099","±1,053","9.4%","±4.8","3,672","±1,226","14.6%","±4.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","23.3%","±7.1","(X)","(X)","16.8%","±9.2","(X)","(X)","29.5%","±10.2"
"    High school graduate (includes equivalency)","(X)","(X)","11.5%","±5.5","(X)","(X)","7.3%","±5.3","(X)","(X)","15.3%","±8.7"
"    Some college or associate's degree","(X)","(X)","16.6%","±7.5","(X)","(X)","13.6%","±10.2","(X)","(X)","19.5%","±9.3"
"    Bachelor's degree or higher","(X)","(X)","9.0%","±8.3","(X)","(X)","9.6%","±13.7","(X)","(X)","8.7%","±9.5"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2024 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","42,909","±4,108","(X)","(X)","50,846","±6,310","(X)","(X)","36,615","±3,905","(X)","(X)"
"        Less than high school graduate","38,531","±3,583","(X)","(X)","41,068","±17,121","(X)","(X)","31,212","±3,462","(X)","(X)"
"        High school graduate (includes equivalency)","39,082","±4,438","(X)","(X)","43,341","±11,318","(X)","(X)","35,202","±4,646","(X)","(X)"
"        Some college or associate's degree","41,079","±12,023","(X)","(X)","45,672","±13,885","(X)","(X)","35,292","±16,300","(X)","(X)"
"        Bachelor's degree","62,026","±11,388","(X)","(X)","88,734","±7,559","(X)","(X)","48,962","±20,378","(X)","(X)"
"        Graduate or professional degree","64,186","±19,458","(X)","(X)","99,152","±32,805","(X)","(X)","54,381","±7,869","(X)","(X)"
