"Label (Grouping)","Lawrence city, Massachusetts!!Estimate","Lawrence city, Massachusetts!!Margin of Error","Lawrence city, Massachusetts!!Percent","Lawrence city, Massachusetts!!Percent Margin of Error"
"        With health insurance coverage","82,960","±2,106","93.7%","±2.4"
"            With private health insurance","32,434","±5,047","36.6%","±5.7"
"            With public coverage","57,640","±4,042","65.1%","±4.6"
"        No health insurance coverage","5,620","±2,087","6.3%","±2.4"
"    Civilian noninstitutionalized population under 19 years","22,234","±2,917","22,234","(X)"
"        No health insurance coverage","597","±479","2.7%","±2.1"
"    Civilian noninstitutionalized population 19 to 64 years","54,789","±2,763","54,789","(X)"
"        In labor force:","46,428","±2,912","46,428","(X)"
"            Employed:","43,347","±3,050","43,347","(X)"
"                With health insurance coverage","39,531","±3,403","91.2%","±4.0"
"                    With private health insurance","22,267","±3,812","51.4%","±7.3"
"                    With public coverage","19,115","±2,782","44.1%","±6.3"
"                No health insurance coverage","3,816","±1,724","8.8%","±4.0"
"            Unemployed:","3,081","±1,106","3,081","(X)"
"                With health insurance coverage","2,617","±978","84.9%","±13.4"
"                    With private health insurance","561","±295","18.2%","±10.6"
"                    With public coverage","2,056","±930","66.7%","±15.1"
"                No health insurance coverage","464","±441","15.1%","±13.4"
"        Not in labor force:","8,361","±2,313","8,361","(X)"
"            With health insurance coverage","7,618","±2,029","91.1%","±6.3"
"                With private health insurance","1,484","±737","17.7%","±8.9"
"                With public coverage","6,858","±1,968","82.0%","±7.8"
"            No health insurance coverage","743","±618","8.9%","±6.3"
"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL","","","",""
"    All families","(X)","(X)","13.3%","±5.3"
"        With related children of the householder under 18 years","(X)","(X)","19.6%","±8.1"
"            With related children of the householder under 5 years only","(X)","(X)","26.6%","±37.2"
"        Married couple families","(X)","(X)","9.7%","±6.2"
"            With related children of the householder under 18 years","(X)","(X)","8.5%","±8.5"
"                With related children of the householder under 5 years only","(X)","(X)","0.0%","±59.0"
"        Families with female householder, no spouse present","(X)","(X)","17.5%","±9.1"
"            With related children of the householder under 18 years","(X)","(X)","27.9%","±14.3"
"                With related children of the householder under 5 years only","(X)","(X)","54.4%","±54.4"
"    All people","(X)","(X)","16.7%","±4.6"
"        Under 18 years","(X)","(X)","22.4%","±10.3"
"            Related children of the householder under 18 years","(X)","(X)","22.4%","±10.3"
"                Related children of the householder under 5 years","(X)","(X)","28.8%","±23.6"
"                Related children of the householder 5 to 17 years","(X)","(X)","20.7%","±10.6"
"        18 years and over","(X)","(X)","15.0%","±3.6"
"            18 to 64 years","(X)","(X)","11.0%","±3.5"
"            65 years and over","(X)","(X)","34.4%","±10.5"
"        People in families","(X)","(X)","12.9%","±5.2"
"        Unrelated individuals 15 years and over","(X)","(X)","30.6%","±7.5"
